Unnamed: 0,Team,Batter,Dismissal,Runs,Balls,4s,6s,SR,match_id,is_plate,dismissal_type,batting_position
12,TN,N Jagadeesan (c & wk),c Akash Singh b Ashok Sharma,71,52,13,0,136.54,RAJvsTN,False,caught,2
13,TN,Washington Sundar,c Akash Singh b Khaleel Ahmed,36,75,2,0,48.0,RAJvsTN,False,caught,3
14,TN,Baba Indrajith,lbw b Ashok Sharma,2,4,0,0,50.0,RAJvsTN,False,lbw,4
15,TN,Pradosh Ranjan Paul,c Ramnivas Golada b Ashok Sharma,6,9,1,0,66.67,RAJvsTN,False,caught,5
16,TN,Mohamed Ali,b Manav Suthar,22,27,4,0,81.48,RAJvsTN,False,bowled,6
17,TN,Ravisrinivasan Sai Kishore,lbw b Manav Suthar,0,1,0,0,0.0,RAJvsTN,False,lbw,7
18,TN,Sunny Sandhu,c Mukul Choudhary b Ashok Sharma,7,15,0,0,46.67,RAJvsTN,False,caught,8
19,TN,Sonu Yadav,b Ashok Sharma,0,2,0,0,0.0,RAJvsTN,False,bowled,9
20,TN,Varun Chakaravarthy,c and b Deepak Hooda,6,14,0,0,42.86,RAJvsTN,False,caught,10
21,TN,Gurjapneet Singh,not out,0,1,0,0,0.0,RAJvsTN,False,not out,11
0,RLYS,Suraj Ahuja,c Srikar Bharat b Satyanarayana Raju,7,10,1,0,70.0,RLYSvsAP,False,caught,1
1,RLYS,Ansh Yadav,c (sub)CR Gnaneshwar b Maramreddy Hemanth Reddy,59,91,6,1,64.84,RLYSvsAP,False,caught,2
2,RLYS,Pratham Singh,c Singupuram Prasad b K S Narasimha Raju,6,17,0,0,35.29,RLYSvsAP,False,caught,3
3,RLYS,Upendra Yadav (wk),c Srikar Bharat b K S Narasimha Raju,7,10,1,0,70.0,RLYSvsAP,False,caught,4
4,RLYS,Ravi Singh,c Srikar Bharat b K S Narasimha Raju,76,70,11,2,108.57,RLYSvsAP,False,caught,5
5,RLYS,Ashutosh Sharma,c Shaik Rasheed b Maramreddy Hemanth Reddy,8,8,1,0,100.0,RLYSvsAP,False,caught,6
6,RLYS,Zubair Ali,c Shaik Rasheed b Satyanarayana Raju,48,34,2,4,141.18,RLYSvsAP,False,caught,7
7,RLYS,Karn Sharma (c),c K S Narasimha Raju b Satyanarayana Raju,7,11,0,0,63.64,RLYSvsAP,False,caught,8
8,RLYS,Raj Choudhary,not out,22,35,0,0,62.86,RLYSvsAP,False,not out,9
9,RLYS,Rahul Sharma,c Satyanarayana Raju b Nitish Reddy,12,11,0,1,109.09,RLYSvsAP,False,caught,10
10,RLYS,Adarsh Singh,not out,1,3,0,0,33.33,RLYSvsAP,False,not out,11
11,AP,Srikar Bharat (wk),lbw b Rahul Sharma,25,23,5,0,108.7,RLYSvsAP,False,lbw,1
12,AP,Ashwin Hebbar,c Suraj Ahuja b Karn Sharma,30,42,3,0,71.43,RLYSvsAP,False,caught,2
13,AP,Shaik Rasheed,lbw b Karn Sharma,40,53,6,2,75.47,RLYSvsAP,False,lbw,3
14,AP,Ricky Bhui,c Pratham Singh b Karn Sharma,76,74,7,3,102.7,RLYSvsAP,False,caught,4
15,AP,Nitish Kumar Reddy (c),not out,55,41,3,2,134.15,RLYSvsAP,False,not out,5
16,AP,Maramreddy Hemanth Reddy,not out,41,35,3,3,117.14,RLYSvsAP,False,not out,6
0,RLYS,Ansh Yadav,c Nitish Rana b Ishant,0,10,0,0,0.0,RLYSvsDEL,False,caught,1
1,RLYS,Pratham Singh,c Sarthak Ranjan b Harshit Rana,11,16,2,0,68.75,RLYSvsDEL,False,caught,2
2,RLYS,Sahab Yuvraj,c Pant b Navdeep Saini,7,24,1,0,29.17,RLYSvsDEL,False,caught,3
3,RLYS,Upendra Yadav (wk),c Pant b Harsh Tyagi,15,18,2,0,83.33,RLYSvsDEL,False,caught,4
4,RLYS,Kush Marathe,st Pant b Ayush Badoni,51,66,6,1,77.27,RLYSvsDEL,False,stumped,5
5,RLYS,Ashutosh Sharma,c Prince Yadav b Ayush Badoni,12,14,2,0,85.71,RLYSvsDEL,False,caught,6
6,RLYS,Zubair Ali,c Priyansh Arya b Ayush Badoni,20,26,1,1,76.92,RLYSvsDEL,False,caught,7
7,RLYS,Karn Sharma (c),lbw b Nitish Rana,29,49,1,1,59.18,RLYSvsDEL,False,lbw,8
8,RLYS,Raj Choudhary,c and b Navdeep Saini,7,12,1,0,58.33,RLYSvsDEL,False,caught,9
9,RLYS,Kunal Yadav,c Sarthak Ranjan b Navdeep Saini,4,4,1,0,100.0,RLYSvsDEL,False,caught,10
10,RLYS,Rahul Sharma,not out,6,5,1,0,120.0,RLYSvsDEL,False,not out,11
11,DEL,Sarthak Ranjan,c (sub)Suraj Ahuja b Raj Choudhary,33,45,5,0,73.33,RLYSvsDEL,False,caught,1
12,DEL,Priyansh Arya,c Sahab Yuvraj b Zubair Ali,80,41,12,3,195.12,RLYSvsDEL,False,caught,2
13,DEL,Nitish Rana,not out,38,28,4,2,135.71,RLYSvsDEL,False,not out,3
14,DEL,Rishabh Pant (c & wk),c and b Raj Choudhary,24,9,1,3,266.67,RLYSvsDEL,False,caught,4
15,DEL,Harshit Rana,c (sub)Akash Pandey b Raj Choudhary,0,2,0,0,0.0,RLYSvsDEL,False,caught,5
16,DEL,Ayush Badoni,not out,3,5,0,0,60.0,RLYSvsDEL,False,not out,6
